step,reward
1042,-2.6239166666666627
1560,-2.7546602564102525
2109,-2.7304519230769184
2660,-2.6520021367521336
3225,-2.673723290598287
3794,-2.637108974358971
4383,-2.202574786324781
4895,-2.009518162393159
5439,-1.9143365384615356
5962,-1.9400662393162378
6479,-1.7844871794871788
6999,-1.6502243589743577
7535,-1.6177553418803385
8027,-1.4162200854700826
8540,-1.3069967948717935
9045,-1.2503258547008544
9567,-1.098708333333333
10089,-1.0299188034188027
10622,-0.9408002136752127
11145,-0.6558034188034173
11657,-0.61230235042735
12198,-0.5910170940170946
12747,-0.5522168803418805
13338,-0.48743589743589766
13931,-0.48394337606837645
14546,-0.3548995726495726
15218,-0.22071901709401706
15952,-0.09468910256410279
16643,-0.10051816239316268
17938,-0.05080952380952411
18508,-0.0781159951159956
19042,0.04047756410256421
19622,0.0011207264957266256
20178,0.003773504273504399
20757,0.18304166666666655
21352,0.242111111111111
21928,0.20468803418803433
22505,0.1438814102564104
23085,0.18514423076923062
23653,0.1631271367521367
24167,0.21659829059829072
24679,0.2450459401709404
25221,0.2326869658119661
25737,0.1957457264957268
26218,0.19763782051282064
26731,0.2177168803418804
27339,0.2848568376068377
27874,0.2706506410256413
28420,0.2515245726495729
28981,0.24304487179487194
29495,0.27335042735042736
30046,0.3237735042735048
30591,0.31644444444444475
31152,0.2701773504273505
31736,0.27565170940170963
32284,0.35802991452991473
32773,0.2976014957264957
33246,0.36929059829059824
33724,0.363542735042735
34236,0.2816965811965813
34739,0.2524829059829062
35261,0.29472970085470107
35783,0.2700042735042736
36297,0.24136538461538468
36811,0.23413461538461589
37320,0.29363461538461577
37846,0.20713461538461567
38407,0.15136538461538493
39053,0.26076923076923103
39536,0.25625000000000003
40044,0.14230769230769263
40584,0.1093076923076928
41108,0.2058269230769234
41592,0.29374145299145316
42081,0.3276688034188036
42574,0.2767884615384617
43056,0.22169230769230788
43541,0.26848076923076925
44029,0.2820106837606838
44511,0.22440811965812005
45014,0.2033269230769236
45514,0.25951923076923117
45982,0.240519230769231
46480,0.20488461538461517
46967,0.22949999999999995
47447,0.292096153846154
47930,0.21673076923076953
48456,0.2855576923076923
48907,0.32776923076923103
49397,0.28517307692307675
49879,0.22084615384615375
50366,0.17807692307692344
50854,0.20898076923076966
51349,0.21684615384615416
51835,0.20109615384615404
52328,0.21082692307692377
52816,0.31186538461538515
53208,0.3361730769230772
53688,0.3235576923076925
54183,0.3391153846153849
54682,0.17169230769230798
55150,0.25755769230769227
55632,0.3816153846153852
56129,0.34238461538461595
56626,0.2259615384615387
57117,0.21132692307692336
57608,0.2730000000000001
58088,0.24773076923076956
58570,0.26200000000000007
59053,0.16861538461538467
59539,0.25107692307692314
60032,0.3113076923076925
60521,0.27117307692307724
61008,0.3432692307692307
61468,0.22665384615384607
61952,0.18292307692307716
62438,0.26042307692307715
62921,0.29798076923076955
63412,0.2480000000000002
63922,0.2869615384615386
64403,0.3371730769230773
64886,0.37709615384615436
65374,0.2606538461538464
65861,0.28263461538461565
66341,0.31398076923076956
66843,0.29061538461538483
67340,0.2935
67822,0.3385961538461546
68307,0.2814807692307698
68788,0.24567307692307697
69265,0.2379807692307696
69747,0.21655769230769265
70246,0.33486538461538456
70774,0.25082692307692295
71266,0.22280769230769215
71743,0.3118653846153846
72229,0.2524807692307694
72709,0.1864807692307696
73221,0.255423076923077
73685,0.3042692307692306
74181,0.2700192307692309
74667,0.2563461538461542
75155,0.2391730769230772
75638,0.18178846153846187
76129,0.23592307692307718
76624,0.22515384615384626
77097,0.3926153846153849
77579,0.3170576923076925
78058,0.33488461538461534
78530,0.25911538461538486
79009,0.18503846153846182
79512,0.269692307692308
79989,0.26503846153846183
80478,0.3226923076923078
80968,0.275692307692308
81447,0.18265384615384656
81933,0.3204807692307694
82440,0.418846153846154
82905,0.3048269230769232
83381,0.34305769230769323
83863,0.25396153846153935
84341,0.18475000000000036
84823,0.2116346153846157
85303,0.27544230769230793
85789,0.3651346153846155
86291,0.28880769230769243
86780,0.2610961538461538
87262,0.35286538461538464
87733,0.42142307692307723
88216,0.3458269230769233
88717,0.20298076923076944
89183,0.32211538461538464
89660,0.3389230769230774
90129,0.25444230769230813
90618,0.28180769230769254
91104,0.3399230769230772
91616,0.21065384615384636
92069,0.17821153846153873
92553,0.2846538461538467
93030,0.26359615384615426
93513,0.1880192307692311
93998,0.1896346153846157
94478,0.2549615384615386
94961,0.2735961538461539
95431,0.12644230769230805
95920,0.3009423076923082
96412,0.38157692307692326
96890,0.33932692307692325
97376,0.3127500000000002
97872,0.30673076923076925
98350,0.29307692307692323
98829,0.36584615384615415
99312,0.25326923076923114
99793,0.2650000000000002
100270,0.22319230769230794
100782,0.3412884615384618
101232,0.36392307692307735
101710,0.2825769230769233
102194,0.20065384615384635
102674,0.20796153846153867
