step,reward
784,-2.5240972222222178
1162,-2.6213450854700806
1537,-2.7438856837606798
1941,-2.657545940170937
2318,-2.516697649572646
2703,-2.4971901709401667
3107,-2.196211538461534
3460,-1.98901709401709
3829,-2.0328344017093984
4199,-2.0131730769230747
4563,-1.9693664529914512
4930,-1.6697585470085454
5324,-1.3389626068376037
5668,-1.1999829059829037
6048,-1.0890897435897429
6438,-0.915639957264957
6825,-0.7802019230769227
7202,-0.7871431623931618
7566,-0.6658760683760677
7933,-0.48979914529914487
8307,-0.5256121794871791
8680,-0.4284145299145296
9047,-0.2916816239316237
9411,-0.304270299145299
9777,-0.34799358974358974
10156,-0.13948397435897433
10505,-0.16186645299145294
10881,-0.13041025641025633
11247,-0.04684294871794859
11618,0.04259829059829074
12040,0.11288247863247881
12474,0.0035876068376069995
12820,0.0023568376068376948
13186,0.055253205128205335
13562,0.07277136752136769
13943,0.1967222222222224
14317,0.22059722222222242
14674,0.16091452991453017
15036,0.012976495726495766
15394,0.03297649572649574
15789,0.04146688034188037
16202,-0.0032190170940170457
16564,-0.010665598290598228
16955,0.029942307692307785
17360,0.15132264957264963
17763,0.22005662393162415
18162,0.1505982905982908
18586,0.09728846153846163
19001,0.1919262820512822
19389,0.19793803418803432
19823,0.2041987179487182
20185,0.2033012820512822
20568,0.17524038461538474
20943,0.1456314102564103
21310,0.18283440170940188
21722,0.16422329059829066
22109,0.1492959401709403
22498,0.17099465811965822
22890,0.22846153846153877
23340,0.23258012820512847
23790,0.1523504273504275
24201,0.15988034188034211
24590,0.23716025641025654
25002,0.19624465811965827
25378,0.22608440170940194
25847,0.21250747863247887
26286,0.21094551282051305
26823,0.19156196581196602
27281,0.2029850427350429
27811,0.21604273504273527
28228,0.2635181623931625
28660,0.2363910256410256
29109,0.1847948717948717
29582,0.19151709401709407
30025,0.26651282051282066
30418,0.2595491452991454
30812,0.25485470085470074
31245,0.269621794871795
31670,0.2972158119658124
32092,0.33706944444444464
32540,0.2721762820512821
32917,0.22818589743589743
33305,0.3021207264957266
33650,0.24594551282051302
34015,0.2639049145299148
34403,0.31859722222222236
34793,0.30643269230769227
35177,0.31769764957264957
35584,0.38105555555555587
35948,0.36110790598290615
36327,0.30112393162393186
36694,0.27006410256410274
37061,0.36303739316239325
37445,0.38869658119658124
37812,0.40430341880341886
38197,0.2704967948717948
38565,0.3368717948717953
38931,0.4599690170940177
39298,0.4283664529914533
39660,0.3097542735042736
40034,0.3178974358974359
40426,0.2657500000000001
40773,0.21519230769230788
41145,0.23239636752136772
41517,0.2648322649572651
41885,0.3022927350427351
42259,0.313090811965812
42628,0.34950961538461545
42998,0.3302574786324787
43378,0.3380897435897439
43751,0.4049711538461542
44125,0.3239198717948719
44489,0.2723974358974359
44856,0.3048547008547009
45235,0.3565117521367521
45589,0.3134401709401712
45959,0.3169604700854705
46326,0.3796207264957267
46704,0.3555950854700854
47076,0.3382393162393163
47479,0.3044647435897436
47833,0.363978632478633
48193,0.3966987179487187
48563,0.36215491452991483
48928,0.36772756410256424
49291,0.38065811965811985
49659,0.3821570512820514
50019,0.28888354700854707
50391,0.3126581196581198
50740,0.29736431623931653
51105,0.26938141025641055
51479,0.296207264957265
51845,0.3720972222222224
52233,0.3325021367521371
52597,0.3660032051282058
52937,0.3565341880341884
53303,0.3593771367521369
53668,0.37506517094017106
54040,0.4079711538461538
54445,0.3523173076923078
54812,0.311050213675214
55183,0.33197115384615444
55542,0.40589957264957294
55902,0.3462532051282053
56268,0.35164957264957286
56629,0.37707051282051307
57004,0.3240021367521368
57372,0.44179914529914577
57765,0.47279487179487273
58131,0.4724166666666671
58511,0.45711324786324786
58883,0.379599358974359
59274,0.35388888888888903
59632,0.41203846153846224
60006,0.38612820512820584
60375,0.3591517094017096
60751,0.26301495726495727
61125,0.34661538461538466
61531,0.37143376068376077
61881,0.39714316239316266
62268,0.3861613247863255
62630,0.3331143162393166
62994,0.3333023504273504
63360,0.35684081196581197
63729,0.3081239316239318
64094,0.31949252136752154
64463,0.29760683760683787
64831,0.291186965811966
65208,0.33486858974358985
65615,0.31541987179487185
66042,0.3234732905982908
66500,0.3775267094017096
66921,0.3262072649572652
67362,0.29602029914529937
67724,0.3428514957264959
68109,0.3175170940170941
68498,0.3212275641025641
68932,0.30842948717948726
69296,0.3176944444444445
69707,0.34774893162393206
70115,0.4488974358974366
70500,0.3778408119658124
70888,0.3208867521367521
71261,0.31055982905982915
71642,0.28814102564102584
72026,0.3697735042735053
72381,0.3969722222222231
72755,0.36587927350427374
73119,0.36000854700854706
73474,0.3706933760683762
73862,0.36261858974358974
74200,0.35696474358974384
74611,0.41322756410256517
75031,0.4105202991452997
75486,0.4250010683760684
75882,0.47857905982906
76300,0.2961506410256411
76668,0.32550747863247903
77053,0.28530235042735064
77412,0.25316452991453
