date,requests
2024-12-24 02:40:00+00:00,2.1083333333333334
2024-12-24 03:00:00+00:00,2.566666666666667
2024-12-24 03:20:00+00:00,3.341666666666667
2024-12-24 03:40:00+00:00,2.675
2024-12-24 04:00:00+00:00,2.275
2024-12-24 04:20:00+00:00,2.8333333333333335
2024-12-24 04:40:00+00:00,2.8583333333333334
2024-12-24 05:00:00+00:00,3.2
2024-12-24 05:20:00+00:00,3.4166666666666665
2024-12-24 05:40:00+00:00,2.816666666666667
2024-12-24 06:00:00+00:00,3.283333333333333
2024-12-24 06:20:00+00:00,2.691666666666667
2024-12-24 06:40:00+00:00,3.225
2024-12-24 07:00:00+00:00,2.908333333333333
2024-12-24 07:20:00+00:00,3.2666666666666666
2024-12-24 07:40:00+00:00,4.45
2024-12-24 08:00:00+00:00,4.625
2024-12-24 08:20:00+00:00,3.9916666666666667
2024-12-24 08:40:00+00:00,4.191666666666666
2024-12-24 09:00:00+00:00,3.6083333333333334
2024-12-24 09:20:00+00:00,4.283333333333333
2024-12-24 09:40:00+00:00,3.6166666666666667
2024-12-24 10:00:00+00:00,3.691666666666667
2024-12-24 10:20:00+00:00,3.3833333333333333
2024-12-24 10:40:00+00:00,3.625
2024-12-24 11:00:00+00:00,3.5833333333333335
2024-12-24 11:20:00+00:00,4.108333333333333
2024-12-24 11:40:00+00:00,4.233333333333333
2024-12-24 12:00:00+00:00,4.308333333333334
2024-12-24 12:20:00+00:00,4.866666666666666
2024-12-24 12:40:00+00:00,4.75
2024-12-24 13:00:00+00:00,5.566666666666666
2024-12-24 13:20:00+00:00,5.241666666666666
2024-12-24 13:40:00+00:00,4.675
2024-12-24 14:00:00+00:00,5.483333333333333
2024-12-24 14:20:00+00:00,4.983333333333333
2024-12-24 14:40:00+00:00,4.708333333333333
2024-12-24 15:00:00+00:00,5.15
2024-12-24 15:20:00+00:00,4.9
2024-12-24 15:40:00+00:00,4.266666666666667
2024-12-24 16:00:00+00:00,3.2083333333333335
2024-12-24 16:20:00+00:00,3.2333333333333334
2024-12-24 16:40:00+00:00,2.7333333333333334
2024-12-24 17:00:00+00:00,2.8583333333333334
2024-12-24 17:20:00+00:00,2.183333333333333
2024-12-24 17:40:00+00:00,1.6083333333333334
2024-12-24 18:00:00+00:00,1.425
2024-12-24 18:20:00+00:00,1.6666666666666667
2024-12-24 18:40:00+00:00,1.5166666666666666
2024-12-24 19:00:00+00:00,1.7666666666666666
2024-12-24 19:20:00+00:00,1.8416666666666666
2024-12-24 19:40:00+00:00,1.7
2024-12-24 20:00:00+00:00,1.7666666666666666
2024-12-24 20:20:00+00:00,1.2416666666666667
2024-12-24 20:40:00+00:00,1.3583333333333334
2024-12-24 21:00:00+00:00,0.85
2024-12-24 21:20:00+00:00,0.825
2024-12-24 21:40:00+00:00,0.8416666666666667
2024-12-24 22:00:00+00:00,0.975
2024-12-24 22:20:00+00:00,0.9166666666666666
2024-12-24 22:40:00+00:00,0.9333333333333333
2024-12-24 23:00:00+00:00,0.8833333333333333
2024-12-24 23:20:00+00:00,0.775
2024-12-24 23:40:00+00:00,0.9583333333333334
2024-12-25 00:00:00+00:00,0.8083333333333333
2024-12-25 00:20:00+00:00,1.1166666666666667
2024-12-25 00:40:00+00:00,1.3666666666666667
2024-12-25 01:00:00+00:00,0.9833333333333333
2024-12-25 01:20:00+00:00,1.375
2024-12-25 01:40:00+00:00,1.8
2024-12-25 02:00:00+00:00,2.2
2024-12-25 02:20:00+00:00,2.2083333333333335
2024-12-25 02:40:00+00:00,2.125
2024-12-25 03:00:00+00:00,2.225
2024-12-25 03:20:00+00:00,2.3833333333333333
2024-12-25 03:40:00+00:00,2.95
2024-12-25 04:00:00+00:00,2.566666666666667
2024-12-25 04:20:00+00:00,3.316666666666667
2024-12-25 04:40:00+00:00,2.816666666666667
2024-12-25 05:00:00+00:00,2.433333333333333
2024-12-25 05:20:00+00:00,3.308333333333333
2024-12-25 05:40:00+00:00,2.933333333333333
2024-12-25 06:00:00+00:00,2.908333333333333
2024-12-25 06:20:00+00:00,3.058333333333333
2024-12-25 06:40:00+00:00,3.8583333333333334
2024-12-25 07:00:00+00:00,4.75
2024-12-25 07:20:00+00:00,4.075
2024-12-25 07:40:00+00:00,4.141666666666667
